Data_Hora,Dificuldade,Geracao,Modo_EDS,Fitness,HP,Atk,AtkSpd,MovSpd
,,12,0,467.18,103,26,1.60,3.802026-09-01 16:56:40,1,6,0,529.03,32,28,2.82,2.62
2026-09-01 16:57:21,1,15,0,563.73,28,36,2.53,2.47
2026-09-01 16:58:02,2,10,0,865.21,60,33,1.50,4.61
2026-09-01 16:58:21,1,6,0,473.14,25,34,2.02,4.27
2026-09-01 16:59:06,1,15,0,555.58,13,33,2.61,3.15
2026-09-01 16:59:47,3,12,0,1810.96,103,27,1.47,4.03
2026-09-01 17:00:51,1,6,0,470.81,45,28,2.46,3.02
2026-09-01 17:01:32,1,15,0,514.24,40,32,2.41,2.92
2026-09-01 17:01:34,2,10,0,829.13,101,20,1.75,4.44
2026-09-01 17:02:44,1,30,0,580.54,27,35,2.50,2.66
2026-09-01 17:03:14,1,6,0,478.69,34,33,2.05,3.98
2026-09-01 17:03:59,1,15,0,538.38,35,40,2.05,2.86
2026-09-01 17:05:02,1,30,0,578.18,10,35,2.60,2.72
2026-09-01 17:05:03,2,10,0,750.69,80,24,1.79,4.02
2026-09-01 17:05:27,1,6,0,539.09,27,41,2.48,1.67
2026-09-01 17:05:40,3,12,0,1813.53,85,29,1.64,3.69
2026-09-01 17:06:02,1,15,0,560.24,27,41,2.48,1.67
2026-09-01 17:06:34,1,6,0,539.28,29,39,2.22,2.78
2026-09-01 17:07:11,1,15,0,589.72,10,39,2.32,3.20
2026-09-01 17:08:13,2,10,0,760.57,62,27,1.54,5.39
2026-09-01 17:08:30,1,6,0,490.71,54,44,1.97,1.77
2026-09-01 17:09:08,1,15,0,551.17,50,38,2.27,2.01
2026-09-01 17:09:44,1,6,0,527.98,11,44,1.89,2.18
2026-09-01 17:10:02,3,12,0,1422.57,100,20,0.82,4.06
2026-09-01 17:10:18,1,15,0,577.56,17,50,2.01,2.08
2026-09-01 17:11:27,1,6,0,455.45,46,31,2.35,2.99
2026-09-01 17:11:31,2,10,0,792.50,79,27,1.71,4.20
2026-09-01 17:12:07,1,15,0,592.54,27,42,2.24,2.43
2026-09-01 17:13:04,1,30,0,608.50,27,41,2.44,1.89
2026-09-01 17:13:30,1,6,0,514.16,37,39,1.89,3.44
2026-09-01 17:14:12,1,15,0,569.58,20,44,2.03,2.97
2026-09-01 17:14:49,3,12,0,1325.36,150,18,0.81,5.61
2026-09-01 17:15:02,2,10,0,842.43,59,20,2.15,4.90
2026-09-01 17:18:23,2,10,0,881.27,52,30,1.65,4.23
2026-09-01 17:20:09,3,12,0,1506.41,104,31,1.10,3.88
2026-09-01 17:21:25,2,10,0,803.20,70,36,1.47,3.81
2026-09-01 17:24:12,2,10,0,896.20,54,31,1.64,4.73
2026-09-01 17:25:15,3,12,0,1495.16,97,25,1.66,3.99
2026-09-01 17:27:06,2,10,0,861.21,65,29,1.55,4.92
2026-09-01 17:30:31,3,12,0,1490.02,100,29,1.44,3.84
2026-09-01 17:35:33,3,12,0,1190.80,138,34,0.54,4.33
2026-09-01 17:41:23,3,12,0,1421.31,92,22,1.57,4.91
2026-09-01 17:47:54,3,12,0,1589.95,81,25,1.31,4.09
2026-09-07 13:58:31,2,10,0,843.93,44,32,1.61,5.09
2026-09-07 14:02:37,3,12,0,1660.00,144,14,0.95,6.06
2026-09-07 14:26:56,3,12,0,1195.57,125,23,0.82,4.10
2026-09-07 15:24:22,1,6,0,561.13,22,37,2.26,3.21
2026-09-07 15:24:59,1,15,0,578.47,22,42,2.10,2.91
2026-09-07 15:25:47,2,10,0,810.95,62,31,1.78,4.04
2026-09-07 15:25:59,1,30,0,596.15,11,37,2.57,2.81
2026-09-07 15:26:25,1,6,0,560.03,50,44,1.96,1.91
2026-09-07 15:27:02,1,15,0,577.52,26,37,2.38,2.72
2026-09-07 15:28:01,3,12,0,1435.17,101,26,0.98,4.76
2026-09-07 15:28:04,1,6,0,443.40,90,37,2.02,1.46
2026-09-07 15:28:41,1,15,0,587.66,18,32,2.85,2.60
2026-09-07 15:28:55,2,10,0,665.70,118,26,1.20,4.44
2026-09-07 15:29:41,1,30,0,621.61,15,38,2.58,2.46
2026-09-07 15:30:07,1,6,0,474.46,10,31,2.17,4.80
2026-09-07 15:30:44,1,15,0,497.66,10,30,2.50,4.16
2026-09-07 15:31:45,1,30,0,576.22,12,35,2.46,3.32
2026-09-07 15:32:08,2,10,0,792.42,75,20,1.95,4.77
2026-09-07 15:32:13,1,6,0,480.66,36,46,1.96,2.12
2026-09-07 15:32:50,1,15,0,524.33,62,44,1.78,2.03
