Data_Hora,Dificuldade,Geracao,Modo_EDS,Fitness,HP,Atk,AtkSpd,MovSpd
2026-09-01 13:14:50,2,10,1,216.75,47,23,1.80,5.82
2026-09-01 13:15:11,1,6,1,278.34,15,29,2.64,3.65
2026-09-01 13:15:23,1,15,1,327.30,10,44,2.28,2.50
2026-09-01 13:36:01,2,10,1,258.91,54,32,1.60,4.64
2026-09-01 13:37:36,2,10,1,248.51,52,29,2.21,3.56
2026-09-01 13:39:15,2,10,1,272.01,35,31,2.02,4.44
2026-09-01 13:40:29,2,10,1,216.69,39,33,1.39,5.74
2026-09-01 13:42:04,2,10,1,249.53,10,35,1.94,4.38
2026-09-01 14:25:17,3,12,0,437.76,77,28,0.67,5.76
2026-09-01 14:45:40,1,6,0,292.98,24,32,2.61,2.91
2026-09-01 14:45:55,1,15,0,332.40,14,39,2.61,2.28
2026-09-01 14:46:18,1,30,0,340.04,10,47,2.27,2.10
2026-09-01 14:46:27,2,10,0,260.83,37,37,1.51,4.48
2026-09-01 14:46:29,1,6,0,270.08,19,33,2.42,3.39
2026-09-01 14:46:44,1,15,0,338.95,10,42,2.48,1.95
2026-09-01 14:47:15,1,6,0,333.89,10,40,2.53,2.47
2026-09-01 14:47:28,3,12,0,514.02,43,31,1.00,5.76
2026-09-01 14:47:30,1,15,0,339.29,10,43,2.41,2.37
2026-09-01 14:47:54,1,6,0,230.40,72,37,1.63,3.19
2026-09-01 14:48:10,1,15,0,257.26,54,36,2.02,2.98
2026-09-01 14:48:26,2,10,0,195.53,32,31,1.77,5.22
2026-09-01 14:48:36,1,30,0,308.94,40,43,2.20,1.82
2026-09-01 14:48:46,1,6,0,271.52,64,39,1.98,2.17
2026-09-01 14:49:02,1,15,0,344.98,12,48,2.11,2.27
2026-09-01 14:49:33,1,6,0,300.34,10,41,2.13,3.40
2026-09-01 14:49:51,1,15,0,332.73,10,45,2.24,2.44
2026-09-01 14:50:08,3,12,0,321.59,40,13,1.91,4.94
2026-09-01 14:50:15,2,10,0,238.47,87,33,1.50,3.58
2026-09-01 14:50:28,1,6,0,265.99,41,38,1.96,2.41
2026-09-01 14:50:46,1,15,0,294.65,28,42,1.94,3.14
2026-09-01 14:51:17,1,30,0,325.43,19,41,2.36,2.49
2026-09-01 14:51:30,1,6,0,276.71,26,42,1.81,3.65
2026-09-01 14:51:47,1,15,0,314.83,20,45,2.13,2.44
2026-09-01 14:52:12,2,10,0,246.52,31,31,2.20,4.05
2026-09-01 14:52:13,1,30,0,342.35,10,43,2.54,1.94
2026-09-01 14:52:25,1,6,0,301.69,39,42,2.16,2.06
2026-09-01 14:52:41,1,15,0,321.57,19,47,2.08,2.29
2026-09-01 14:53:10,1,6,0,273.38,53,38,2.03,2.65
2026-09-01 14:53:13,3,12,0,517.16,35,26,1.77,5.91
2026-09-01 14:53:29,1,15,0,301.72,20,33,2.70,2.67
2026-09-01 14:53:55,1,30,0,342.94,10,40,2.60,2.11
2026-09-01 14:54:27,2,10,0,275.18,12,33,2.28,4.21
2026-09-01 14:56:19,3,12,0,437.41,18,10,1.77,7.64
2026-09-01 14:56:33,2,10,0,229.38,46,32,1.80,4.43
